Country,2010_MLE,2011_MLE,2012_MLE,2013_MLE,2014_MLE,2015_MLE,2016_MLE,2017_MLE,2018_MLE,2019_MLE,2020_MLE
Afghanistan,,,48.5,48.5,48.5,48.5,48.5,48.5,48.5,,
Albania,,,,,69.6,69.6,69.6,69.6,69.6,69.6,69.6
Angola,,,,45.5,45.5,45.5,45.5,45.5,45.5,45.5,
Armenia,72.4,71.6,70.9,70.1,69.4,68.6,67.8,67.1,66.3,65.6,
Azerbaijan,,,,,,,,,,,
Bangladesh,58.3,56.9,58.6,60.3,62,63.7,65.4,67.1,,,
Benin,39.1,39.3,39.4,39.5,39.6,39.7,39.8,39.9,40,40.1,40.2
Bolivia,42.1,42,,,,,,,,,
Brazil,,,,,,,,,,,
Burkina Faso,24.5,25.1,25.8,26.4,,,,,,,
Burundi,29.1,29.3,29.5,29.7,29.9,30.1,30.3,30.5,30.7,30.9,31.1
Cambodia,39.6,40.5,41.5,42.4,43.3,44.3,45.2,46.2,,,
Cameroon,52,52.6,52.8,53,53.2,53.4,53.6,53.8,54,54.2,54.4
Chad,25,26.1,27.2,28.4,29.5,30.6,31.8,32.9,34,,
Colombia,67.5,67.4,67.2,67.1,,,,,,,
Comoros,43.2,42.1,40.9,39.7,38.6,37.4,,,,,
Congo Brazzaville,50.2,48.7,47.3,45.9,44.4,,,,,,
Congo Democratic Republic,31,30.1,29.2,28.2,27.3,26.4,25.5,,,,
Cote d'Ivoire,37.6,35.2,32.9,30.5,28.2,,,,,,
Dominican Republic,68.5,70,71.5,73,74.5,76,77.5,,,,
Egypt,58.8,59.8,60.8,61.9,62.9,63.9,64.9,65.9,,,
Eritrea,,,,,,,,,,,
Eswatini,,,,,,,,,,,
Ethiopia,26.4,27.2,28,28.8,29.6,30.3,31.1,31.9,32.7,33.5,
Gabon,61.2,62.1,63.1,64,64.9,65.8,,,,,
Gambia,52.9,52.9,52.9,52.9,52.9,52.9,52.9,,,,
Ghana,42.6,43.1,43.5,44,44.4,44.8,45.3,45.7,,,
Guatemala,46.6,47.3,48,48.7,49.5,50.2,50.9,51.6,52.3,,
Guinea,38.4,39.3,40.3,41.1,41.9,42.7,43.5,44.3,45.2,46,46.8
Guyana,69.1,69.1,69.1,,,,,,,,
Haiti,43.4,43.8,44.3,44.8,45.3,45.8,46.4,46.9,47.4,47.9,48.5
Honduras,45.9,45.8,45.7,45.6,45.5,,,,,,
India,60.8,59.9,59.1,58.2,57.3,56.4,55.5,54.7,53.8,52.9,
Indonesia,58.8,60.8,62.8,57.6,52.4,47.2,42,36.8,31.6,26.4,21.2
Jordan,75,75,75,75,74.9,74.9,74.9,74.9,74.9,74.9,74.9
Kazakhstan,,,,,,,,,,,
Kenya,45.6,48.5,51.4,54.3,57.1,60,62.9,65.7,,,
Kyrgyzstan,62.2,62.6,63,63.5,63.9,64.3,,,,,
Lesotho,65.1,66.2,67.3,68.4,69.5,70.6,71.8,72.9,,,
Liberia,38.2,39.1,40.1,41,42,42.9,43.8,,,,
Madagascar,20.7,16.6,12.4,,,,,,,,
Malawi,47.6,47.9,48.2,48.6,48.9,49.2,49.5,49.8,50.2,50.5,
Maldives,58.1,57.1,56.1,55.2,54.2,53.2,52.2,51.3,50.3,49.3,48.3
Mali,35.8,37,38.2,39.4,40.6,41.8,42.9,44.1,45.3,46.5,47.7
Mauritania,,,,,,,,,,,
Moldova,,,,,,,,,,,
Morocco,,,,,,,,,,,
Mozambique,50.7,51.3,51.8,52.4,52.9,,,,,,
Myanmar,,,,65.7,65.7,65.7,65.7,65.7,65.7,65.7,
Namibia,63.2,63.7,64.2,64.8,65.3,65.8,66.3,,,,
Nepal,63,65.9,66.5,67.2,67.8,68.4,69,69.7,70.3,70.9,
Nicaragua,,,,,,,,,,,
Niger,46.2,44.9,43.6,42.3,41,39.8,,,,,
Nigeria,46.8,47.7,48.5,49.4,48.9,48.4,47.9,47.4,46.9,46.4,45.9
Pakistan,72.1,73.2,74.3,73.4,72.5,71.6,70.7,69.7,68.8,67.9,67
Papua New Guinea,,,,,44.7,44.7,44.7,44.7,44.7,44.7,44.7
Peru,52,52,52.1,52.1,52.2,,,,,,
Philippines,57.2,56.5,55.8,55,55.2,55.5,55.7,55.9,56.1,56.4,56.6
Rwanda,26.1,27.2,28.4,29.5,30.6,31.8,32.9,34,35.2,,
Sao Tome & Principe,70.6,70.6,70.6,,,,,,,,
Senegal,61.8,63.5,59.9,64.3,68.6,57.3,57.3,57.6,55.1,65.5,75.8
Sierra Leone,34.9,35.4,35.9,36.3,35,33.8,32.5,31.2,29.9,28.7,27.4
South Africa,79,78,77,76,75,74,73.1,72.1,71.1,70.1,
Tajikistan,79.8,79.2,78.6,78.1,77.5,76.9,76.3,75.7,75.1,74.5,73.9
Tanzania,32.8,33.8,34.7,35.7,36.7,37.7,38.7,39.6,40.6,,
Timor Leste,25.8,28.7,31.6,34.5,37.5,40.4,43.3,46.2,49.1,52,
Togo,46.2,46.9,47.5,48.2,48.9,49.5,50.2,50.9,,,
Turkey,70.5,70.3,70.2,70,69.8,69.7,69.5,,,,
Uganda,28.3,26.9,31.2,35.4,39.7,44,48.3,52.5,56.8,61.1,
Ukraine,78.5,,,,,,,,,,
Uzbekistan,,,,,,,,,,,
Vietnam,,,,,,,,,,,
Yemen,64.3,64.6,65,65.3,65.6,65.9,66.3,,,,
Zambia,43.7,43,42.2,41.5,40.8,43.6,46.4,49.3,52.1,55,57.8
Zimbabwe,68,70,70.4,70.8,71.2,71.6,72,72.4,72.8,,
