Country,2010_WAE,2011,2012,2013_WAE,2014_WAE,2015_WAE,2016_WAE,2017_WAE,2018_WAE,2019_WAE,2020_WAE
Afghanistan,,,36.1,36.1,36.1,36.1,36.1,36.1,36.1,,
Albania,,,,,22,22,22,22,22,22,22
Angola,,,,46.3,46.3,46.3,46.3,46.3,46.3,46.3,
Armenia,14.1,15.3,16.4,17.5,18.7,19.8,20.9,22.1,23.2,24.4,
Azerbaijan,,,,,,,,,,,
Bangladesh,10.3,7.1,19.3,31.6,43.8,56,68.3,80.5,,,
Benin,29.4,27.1,26.9,26.7,26.5,26.3,26.2,26,25.8,25.6,25.4
Bolivia,25.9,26.4,,,,,,,,,
Brazil,,,,,,,,,,,
Burkina Faso,58.3,56.1,54,51.9,,,,,,,
Burundi,84.8,84.8,84.7,84.7,84.6,84.5,84.5,84.4,84.4,84.3,84.3
Cambodia,53.3,50.6,47.8,45,42.2,39.4,36.6,33.9,,,
Cameroon,42.7,40.8,41.3,41.7,42.2,42.6,43.1,43.5,44,44.4,44.9
Chad,48.1,45.4,42.6,39.9,37.2,34.4,31.7,29,26.2,,
Colombia,6.73,6.89,7.05,7.21,7.38,7.54,7.7,7.86,8.03,,
Comoros,25.4,24.6,23.8,23,22.2,21.4,,,,,
Congo Brazzaville,49.7,52.3,55,57.6,60.2,,,,,,
Congo Democratic Republic,62.7,63,63.3,63.6,63.9,64.2,64.5,,,,
Cote d'Ivoire,38.4,36.2,34,31.8,29.6,,,,,,
Dominican Republic,1.76,1.37,0.98,0.59,0.4,0.2,0.01,,,,
Egypt,14.2,13.9,13.6,13.3,13,12.6,12.3,12,,,
Eritrea,,,,,,,,,,,
Eswatini,,,,,,,,,,,
Ethiopia,37.5,37.6,37.3,37.1,36.9,36.7,36.4,36.2,36,35.8,
Gabon,24.4,23.4,22.4,21.4,20.4,19.5,,,,,
Gambia,50.3,50.3,50.3,50.3,50.3,50.3,50.3,,,,
Ghana,33.3,32.6,31.9,31.2,30.6,29.9,29.2,28.6,,,
Guatemala,12.3,12,11.8,11.5,11.2,10.9,10.6,10.3,10,,
Guinea,53.7,53.2,52.7,50.3,47.9,45.5,43.1,40.7,38.3,35.9,33.5
Guyana,11.1,11.1,11.1,,,,,,,,
Haiti,11.4,10.9,10.4,10.1,9.91,9.68,9.45,9.22,8.99,8.76,8.53
Honduras,17.8,17.6,17.3,17.1,16.9,,,,,,
India,49.4,49.8,50.1,50.5,50.9,51.2,51.6,51.9,52.3,52.6,
Indonesia,29.6,25.6,21.7,23.9,26.2,28.5,30.7,33,35.3,37.6,39.8
Jordan,2.22,2.48,2.74,2.46,2.18,1.89,1.61,1.33,1.05,0.77,0.49
Kazakhstan,,,,,,,,,,,
Kenya,35.5,35.5,35.6,35.7,35.7,35.8,35.8,35.9,,,
Kyrgyzstan,4.38,3.24,2.09,1.4,0.7,0.01,,,,,
Lesotho,28.5,24.4,20.2,16.1,11.9,7.95,3.98,0.01,,,
Liberia,55.2,55,54.9,54.7,54.6,54.4,54.3,,,,
Madagascar,74.3,77.7,81.2,,,,,,,,
Malawi,60.9,60.5,60,59.5,59,58.6,58.1,57.6,57.1,56.6,
Maldives,4.86,4.28,3.69,3.11,2.52,1.94,1.35,0.77,0.51,0.26,0.01
Mali,42.5,41,39.5,38,37.7,37.4,37,36.7,36.4,36.1,35.7
Mauritania,,,,,,,,,,,
Moldova,,,,,,,,,,,
Morocco,,,,,,,,,,,
Mozambique,57.9,55.3,52.8,50.2,47.6,,,,,,
Myanmar,,,,20.5,20.5,20.5,20.5,20.5,20.5,20.5,
Namibia,10.8,8.73,6.66,4.59,3.06,1.54,0.01,,,,
Nepal,76.8,74.3,74.1,73.9,73.7,73.5,73.3,73.1,72.8,72.6,
Nicaragua,,,,,,,,,,,
Niger,16.8,12.9,9.08,6.06,3.03,0.01,,,,,
Nigeria,24.2,21.9,19.7,17.5,14,10.5,6.99,3.5,0,0,0.01
Pakistan,30.5,28.6,26.7,25.9,25.2,24.4,23.7,22.9,22.1,21.4,20.6
Papua New Guinea,,,,,40.1,40.1,40.1,40.1,40.1,40.1,40.1
Peru,30.2,31.1,32,32.9,33.8,,,,,,
Philippines,16.5,16.2,16,15.7,15.6,15.5,15.4,15.3,15.2,15,14.9
Rwanda,76.1,75.6,75.2,74.8,74.3,73.9,73.4,73,72.5,,
Sao Tome & Principe,15.7,15.7,15.7,,,,,,,,
Senegal,29,28.9,34,33.3,32.7,40.5,40.5,35,39.9,35.1,30.3
Sierra Leone,52.5,51.9,51.3,50.8,52.2,53.5,54.9,56.3,57.6,59,60.4
South Africa,2.97,3.21,3.44,3.68,3.92,4.15,4.39,4.63,4.87,5.1,
Tajikistan,2.31,4.61,6.91,10.1,13.2,16.4,19.5,22.7,25.8,29,32.1
Tanzania,65.6,64,62.4,60.8,59.2,57.6,56,54.4,52.8,,
Timor Leste,60,55.7,51.4,47.1,42.7,38.4,34.1,29.8,25.4,21.1,
Togo,30.9,30.8,30.7,30.6,30.5,30.3,30.2,30.1,,,
Turkey,,,,,,,,,,,
Uganda,65.7,63.4,60.7,57.9,55.2,52.5,49.7,47,44.3,41.5,
Ukraine,2.73,,,,,,,,,,
Uzbekistan,,,,,,,,,,,
Vietnam,,,,,,,,,,,
Yemen,59.3,57.7,56.2,54.6,53,51.4,49.8,,,,
Zambia,48.6,48.8,49.1,49.3,49.6,46.9,44.2,41.5,38.8,36.1,33.5
Zimbabwe,23.5,20.6,19.3,17.9,16.5,15.1,13.8,12.4,11,,
